Country/Region,Cumulative_cases,Cumulative_deaths,Daily_cases,Daily_deaths,DataLevel,Date,Province/State,Confirmed_cases_change,Cumulative_cases_change,Confirmed_deaths_change,Cumulative_deaths_change,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Latest_Population_total,5_year_percent_change_Population_total,Latest_GDP (current US$),5_year_percent_change_GDP (current US$),Latest_GDP growth (annual %),5_year_percent_change_GDP growth (annual %),Latest_Population_male (% of total population),5_year_percent_change_Population_male (% of total population),Latest_Population ages 65 and above_total,5_year_percent_change_Population ages 65 and above_total,Latest_School enrollment_primary (% gross),5_year_percent_change_School enrollment_primary (% gross),Latest_Life expectancy at birth_total (years),5_year_percent_change_Life expectancy at birth_total (years),Latest_Population_male,5_year_percent_change_Population_male,Latest_Population ages 65 and above (% of total population),5_year_percent_change_Population ages 65 and above (% of total population),Latest_Population ages 65 and above_male (% of male population),5_year_percent_change_Population ages 65 and above_male (% of male population),Region,IncomeGroup,IncomeGroup_rank,2019DemocracyScore,Cluster,Daily_cases_mean,Daily_cases_median,Daily_cases_std,Daily_cases_min,Daily_cases_max
Algeria,0.0,0.0,0.0,0.0,Country/Region,2020-01-22,,-1.0,-1.0,-1.0,-1.0,,,,,,,42228429.0,10.719147484859256,173757952824.25,-17.161379495694902,1.39999999999998,-50.00000000000144,50.51573212018501,0.05531970661640676,2686782.0,24.974858804628028,109.88282,-8.078095140578007,76.693,1.3639788001744575,21332000.0,10.780399409766686,6.3624965449798605,12.875578032396708,6.15773219126783,14.844432428860294,Middle East & North Africa,Upper middle income,3.0,4.01,1,0.0,0.0,0.0,0.0,0.0
Algeria,0.0,0.0,0.0,0.0,Country/Region,2020-01-23,,0.0,0.0,0.0,0.0,,,,,,,42228429.0,10.719147484859256,173757952824.25,-17.161379495694902,1.39999999999998,-50.00000000000144,50.51573212018501,0.05531970661640676,2686782.0,24.974858804628028,109.88282,-8.078095140578007,76.693,1.3639788001744575,21332000.0,10.780399409766686,6.3624965449798605,12.875578032396708,6.15773219126783,14.844432428860294,Middle East & North Africa,Upper middle income,3.0,4.01,1,0.0,0.0,0.0,0.0,0.0
Algeria,0.0,0.0,0.0,0.0,Country/Region,2020-01-24,,0.0,0.0,0.0,0.0,,,,,,,42228429.0,10.719147484859256,173757952824.25,-17.161379495694902,1.39999999999998,-50.00000000000144,50.51573212018501,0.05531970661640676,2686782.0,24.974858804628028,109.88282,-8.078095140578007,76.693,1.3639788001744575,21332000.0,10.780399409766686,6.3624965449798605,12.875578032396708,6.15773219126783,14.844432428860294,Middle East & North Africa,Upper middle income,3.0,4.01,1,0.0,0.0,0.0,0.0,0.0
Algeria,0.0,0.0,0.0,0.0,Country/Region,2020-01-25,,0.0,0.0,0.0,0.0,,,,,,,42228429.0,10.719147484859256,173757952824.25,-17.161379495694902,1.39999999999998,-50.00000000000144,50.51573212018501,0.05531970661640676,2686782.0,24.974858804628028,109.88282,-8.078095140578007,76.693,1.3639788001744575,21332000.0,10.780399409766686,6.3624965449798605,12.875578032396708,6.15773219126783,14.844432428860294,Middle East & North Africa,Upper middle income,3.0,4.01,1,0.0,0.0,0.0,0.0,0.0
Algeria,0.0,0.0,0.0,0.0,Country/Region,2020-01-26,,0.0,0.0,0.0,0.0,,,,,,,42228429.0,10.719147484859256,173757952824.25,-17.161379495694902,1.39999999999998,-50.00000000000144,50.51573212018501,0.05531970661640676,2686782.0,24.974858804628028,109.88282,-8.078095140578007,76.693,1.3639788001744575,21332000.0,10.780399409766686,6.3624965449798605,12.875578032396708,6.15773219126783,14.844432428860294,Middle East & North Africa,Upper middle income,3.0,4.01,1,0.0,0.0,0.0,0.0,0.0
Algeria,0.0,0.0,0.0,0.0,Country/Region,2020-01-27,,0.0,0.0,0.0,0.0,,,,,,,42228429.0,10.719147484859256,173757952824.25,-17.161379495694902,1.39999999999998,-50.00000000000144,50.51573212018501,0.05531970661640676,2686782.0,24.974858804628028,109.88282,-8.078095140578007,76.693,1.3639788001744575,21332000.0,10.780399409766686,6.3624965449798605,12.875578032396708,6.15773219126783,14.844432428860294,Middle East & North Africa,Upper middle income,3.0,4.01,1,0.0,0.0,0.0,0.0,0.0
Algeria,0.0,0.0,0.0,0.0,Country/Region,2020-01-28,,0.0,0.0,0.0,0.0,,,,,,,42228429.0,10.719147484859256,173757952824.25,-17.161379495694902,1.39999999999998,-50.00000000000144,50.51573212018501,0.05531970661640676,2686782.0,24.974858804628028,109.88282,-8.078095140578007,76.693,1.3639788001744575,21332000.0,10.780399409766686,6.3624965449798605,12.875578032396708,6.15773219126783,14.844432428860294,Middle East & North Africa,Upper middle income,3.0,4.01,1,0.0,0.0,0.0,0.0,0.0
Algeria,0.0,0.0,0.0,0.0,Country/Region,2020-01-29,,0.0,0.0,0.0,0.0,,,,,,,42228429.0,10.719147484859256,173757952824.25,-17.161379495694902,1.39999999999998,-50.00000000000144,50.51573212018501,0.05531970661640676,2686782.0,24.974858804628028,109.88282,-8.078095140578007,76.693,1.3639788001744575,21332000.0,10.780399409766686,6.3624965449798605,12.875578032396708,6.15773219126783,14.844432428860294,Middle East & North Africa,Upper middle income,3.0,4.01,1,0.0,0.0,0.0,0.0,0.0
Algeria,0.0,0.0,0.0,0.0,Country/Region,2020-01-30,,0.0,0.0,0.0,0.0,,,,,,,42228429.0,10.719147484859256,173757952824.25,-17.161379495694902,1.39999999999998,-50.00000000000144,50.51573212018501,0.05531970661640676,2686782.0,24.974858804628028,109.88282,-8.078095140578007,76.693,1.3639788001744575,21332000.0,10.780399409766686,6.3624965449798605,12.875578032396708,6.15773219126783,14.844432428860294,Middle East & North Africa,Upper middle income,3.0,4.01,1,0.0,0.0,0.0,0.0,0.0
Algeria,0.0,0.0,0.0,0.0,Country/Region,2020-01-31,,0.0,0.0,0.0,0.0,,,,,,,42228429.0,10.719147484859256,173757952824.25,-17.161379495694902,1.39999999999998,-50.00000000000144,50.51573212018501,0.05531970661640676,2686782.0,24.974858804628028,109.88282,-8.078095140578007,76.693,1.3639788001744575,21332000.0,10.780399409766686,6.3624965449798605,12.875578032396708,6.15773219126783,14.844432428860294,Middle East & North Africa,Upper middle income,3.0,4.01,1,0.0,0.0,0.0,0.0,0.0
